rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:N003:0,0000000000000000:0,0000000000000000::13,94:406:15,1:UFF:UFF_TEC_AM::SES.:SIST
TO_CEN03:XP01:N005:0,0000000000000000:0,0000000000000000::12,86:406:14,4:UFF:UFF_TEC_AM::SES.:SIST
TO_CEN03:XP01:N006:45,0625460000000000:7,6623660000000000:Segreteria del Rettore e del Direttore Generale:41,85:392:27,6:UFF:UFF_TEC_AM::SES.:SIST
TO_CEN03:XP01:N007:45,0625740000000000:7,6622810000000000:Protocollo e Archivio Generale:13,94:406:15,2:UFF:UFF_TEC_AM::SES.:SIST
TO_CEN03:XP01:N008:0,0000000000000000:0,0000000000000000::38,28:392:26,9:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:N009:0,0000000000000000:0,0000000000000000::18,53:392:18,5:SUPP:S_RIUN::ATU.:AMM
TO_CEN03:XP01:N010::::20,73::18,9:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:N011:0,0000000000000000:0,0000000000000000::28,30:409:23,5:SUPP:S_RIUN:L20:ATU.:AMM
TO_CEN03:XP01:N012:0,0000000000000000:0,0000000000000000::20,75:394:18,9:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:N013:0,0000000000000000:0,0000000000000000::5,92:304:10,9:SERV:ANTI_WC_M::ATU.:AMM
TO_CEN03:XP01:N014:0,0000000000000000:0,0000000000000000::43,12:394:28,5:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XP01:N015:0,0000000000000000:0,0000000000000000::6,43:304:11,4:SERV:ANTI_WC_F::ATU.:AMM
TO_CEN03:XP01:N016:0,0000000000000000:0,0000000000000000::2,18:304:5,9:SERV:WC_M::ATU.:AMM
TO_CEN03:XP01:N017:0,0000000000000000:0,0000000000000000::1,70:304:5,4:SERV:WC_M::ATU.:AMM
TO_CEN03:XP01:N018:0,0000000000000000:0,0000000000000000::1,75:304:5,4:SERV:WC_M::ATU.:AMM
TO_CEN03:XP01:N019:0,0000000000000000:0,0000000000000000::0,28::2,1:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XP01:N020::::2,54::6,4:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:N021::::1,72::5,4:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:N022::::1,72::5,4:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:N023::::0,28::2,1:SERV:MAGAZ::ATU.:AMM
TO_CEN03:XP01:O000:45,0631640000000000:7,6624440000000000::103,50:368:71,0:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:O001::::29,13:460:23,3:UFF:UFF_TEC_AM::SES.:AFLEG
TO_CEN03:XP01:O002:45,0629010000000000:7,6623900000000200:Saletta  C:32,25:456:24,5:SUPP:S_RIUN:L20:ATU.:AMM
TO_CEN03:XP01:O003:45,0627640000000000:7,6623200000000000:RDPS:30,87:456:24,1:UFF:UFF_TEC_AM::ARE.:RDPS
TO_CEN03:XP01:O004:0,0000000000000000:0,0000000000000000::31,22:456:24,2:UFF:UFF_TEC_AM::ARE.:RDPS
TO_CEN03:XP01:O005:45,0627210000000000:7,6624800000000100:Sala CDA:110,17:456:50,4:SUPP:S_RIUN:L40:ATU.:AMM
TO_CEN03:XP01:O006::::21,96::19,4:VERT:SCALA::ATU.:AMM
TO_CEN03:XP01:O007:45,0627700000001000:7,6622080000000200:Saletta B:31,64:456:24,3:SUPP:S_RIUN:L20:ATU.:AMM
TO_CEN03:XP01:Q000::::77,61:362:68,6:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XP01:Q001::::344,89:300:80,6:STUD:BIBLIO:L200_PLUS:ARE.:BIBLIOM
TO_CEN03:XP01:Q002::::40,48:320:30,8:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q003::::1,60::5,8:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XP01:Q004::::38,48:320:29,6:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q005::::7,87:204:11,9:SERV:LOC_TECN::ATU.:AMM
TO_CEN03:XP01:Q006::::35,37:340:26,9:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q007::::5,09:240:9,9:SERV:WC::ATU.:ATENEO
TO_CEN03:XP01:Q008::::15,15:432:17,6:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q009::::16,84:252:21,6:SERV:WC::ATU.:ATENEO
TO_CEN03:XP01:Q010::::12,55:432:14,9:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q011::::8,81:252:12,6:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XP01:Q012::::21,34:432:20,6:UFF:UFF_TEC_AM::ARE.:BIBLIOM
